,Company,Layoff Status_x,No. of Employees_x,No. of Employees_y,Layoff Status_y,No. of Employees
181,"Fish Market Restaurants, Inc.",Closure Permanent,144,144,Closure Permanent,144
182,Flex LTD,Layoff Permanent,31,31,Layoff Permanent,31
183,Flexport,Layoff Permanent,233,233,Layoff Permanent,233
184,ForgeRock,Layoff Permanent,97,97,Layoff Permanent,97
185,Foundation for California Community Colleges,Layoff Permanent,298,298,Layoff Permanent,298
186,Front Porch Communities and Services,Closure Permanent,185,185,Closure Permanent,185
187,Full Steam Staffing,Layoff Permanent,323,323,Layoff Permanent,323
188,G&C Staffing,Layoff Permanent,54,54,Layoff Permanent,54
189,GAP,Layoff Permanent,34,34,Layoff Permanent,34
190,GE United Technologies,Closure Permanent,188,188,Closure Permanent,188
191,"GXO Logistics Supply Chain, Inc.",Closure Permanent,61,61,Closure Permanent,61
192,Gemological Institute of America,Layoff Permanent,151,151,Layoff Permanent,151
193,Genentech,Layoff Permanent,436,436,Layoff Permanent,436
194,Gibson Overseas,Closure Permanent,44,44,Closure Permanent,44
195,Gilead Sciences,Layoff Permanent,42,42,Layoff Permanent,42
196,Gillette Citrus,Layoff Permanent,93,93,Layoff Permanent,93
197,Ginger.io,Layoff Permanent,19,19,Layoff Permanent,19
198,Global Expedited Transportation,Closure Permanent,51,51,Closure Permanent,51
199,Global Medical Response,Closure Permanent,84,84,Closure Permanent,84
200,Golden Gate Fields,Closure Permanent,203,203,Closure Permanent,203
201,Google,Layoff Permanent,25,25,Layoff Permanent,25
202,Grammarly,Layoff Permanent,82,82,Layoff Permanent,82
203,HMI,Closure Permanent,16,16,Closure Permanent,16
204,HMSHost,Closure Permanent,127,127,Closure Permanent,127
205,Hallcon Corporation,Layoff Permanent,65,65,Layoff Permanent,65
206,Happy Money,Layoff Permanent,89,89,Layoff Permanent,89
207,Hawker Pacific Aerospace,Layoff Permanent,260,260,Layoff Permanent,260
208,Headspace,Layoff Permanent,158,158,Layoff Permanent,158
209,Headway Technologies,Layoff Permanent,90,90,Layoff Permanent,90
210,Henry Mayo Newhall Hospital,Layoff Permanent,107,107,Layoff Permanent,107
211,Herbalife International of America,Layoff Permanent,97,97,Layoff Permanent,97
212,"Hinge Health, Inc.",Layoff Permanent,45,45,Layoff Permanent,45
213,Hollingsworth,Closure Permanent,15,15,Closure Permanent,15
214,Hyatt Centric,Layoff Temporary,111,111,Layoff Temporary,111
215,Hyperloop,Layoff Permanent,3,3,Layoff Permanent,3
216,IKEA,Closure Permanent,147,147,Closure Permanent,147
217,ISU PETASYS CORP.,Closure Permanent,96,96,Closure Permanent,96
218,ITC Federal,Layoff Permanent,125,125,Layoff Permanent,125
219,Il Fornaio (America),Closure Permanent,54,54,Closure Permanent,54
220,Illumina Inc,Layoff Permanent,75,75,Layoff Permanent,75
221,Image Solutions Apparel,Closure Permanent,21,21,Closure Permanent,21
222,ImmunityBio,Layoff Permanent,48,48,Layoff Permanent,48
223,Imperial Bag & Paper Co.,Closure Permanent,20,20,Closure Permanent,20
224,In-N-Out Burgers,Closure Permanent,115,115,Closure Permanent,115
225,Individualized ABA Services for Families,Closure Permanent,65,65,Closure Permanent,65
226,Informatica,Layoff Permanent,90,90,Layoff Permanent,90
227,Instacart,Layoff Permanent,105,105,Layoff Permanent,105
228,Intel Corporation,Layoff Permanent,824,824,Layoff Permanent,824
229,Intense Lighting,Closure Permanent,90,90,Closure Permanent,90
230,Invitae Corporation,Layoff Permanent,238,238,Layoff Permanent,238
231,J.B. Hunt Transport,Closure Permanent,358,358,Closure Permanent,358
232,JUUL Labs,Layoff Permanent,4,4,Layoff Permanent,4
233,Jabil Inc.,Closure Permanent,52,1181,Closure Permanent,52
234,Jabil Inc.,Closure Permanent,52,1181,Closure Temporary,738
235,Jabil Inc.,Closure Permanent,52,1181,Layoff Permanent,253
236,Jabil Inc.,Closure Permanent,52,1181,Layoff Temporary,138
237,Jabil Inc.,Closure Temporary,738,1181,Closure Permanent,52
238,Jabil Inc.,Closure Temporary,738,1181,Closure Temporary,738
239,Jabil Inc.,Closure Temporary,738,1181,Layoff Permanent,253
240,Jabil Inc.,Closure Temporary,738,1181,Layoff Temporary,138
241,Jabil Inc.,Layoff Permanent,253,1181,Closure Permanent,52
