,Company,Layoff Status_x,No. of Employees_x,No. of Employees_y,Layoff Status_y,No. of Employees
481,The Health Trust,Layoff Permanent,87,87,Layoff Permanent,87
482,The Hills Hotel,Layoff Permanent,73,73,Layoff Permanent,73
483,The Hotel del Coronado,Layoff Temporary,197,197,Layoff Temporary,197
484,The Real Good Food Company,Closure Permanent,21,28,Closure Permanent,21
485,The Real Good Food Company,Closure Permanent,21,28,Layoff Permanent,7
486,The Real Good Food Company,Layoff Permanent,7,28,Closure Permanent,21
487,The Real Good Food Company,Layoff Permanent,7,28,Layoff Permanent,7
488,The Rinks Foundation,Closure Permanent,35,35,Closure Permanent,35
489,The Ronin Project,Closure Permanent,131,131,Closure Permanent,131
490,The Vons Companies,Closure Permanent,53,53,Closure Permanent,53
491,Thermo Fisher Scientific,Closure Permanent,74,356,Closure Permanent,74
492,Thermo Fisher Scientific,Closure Permanent,74,356,Layoff Permanent,282
493,Thermo Fisher Scientific,Layoff Permanent,282,356,Closure Permanent,74
494,Thermo Fisher Scientific,Layoff Permanent,282,356,Layoff Permanent,282
495,Tower Semiconductor,Layoff Temporary,699,699,Layoff Temporary,699
496,Transdev Services,Closure Permanent,179,179,Closure Permanent,179
497,Tri-City Medical Center,Layoff Permanent,96,96,Layoff Permanent,96
498,TriLink Biotechnologies,Layoff Permanent,88,88,Layoff Permanent,88
499,Tropitone Furniture Company,Closure Permanent,8,8,Closure Permanent,8
500,Trove Recommerce,Closure Permanent,124,124,Closure Permanent,124
501,"TuSimple, Inc.",Layoff Permanent,107,107,Layoff Permanent,107
502,"Twitch Interactive, Inc.",Layoff Permanent,218,218,Layoff Permanent,218
503,UPS,Layoff Permanent,401,401,Layoff Permanent,401
504,US Display Group,Closure Permanent,50,50,Closure Permanent,50
505,US Motor Works,Layoff Permanent,8,8,Layoff Permanent,8
506,USS-UPI,Closure Permanent,474,474,Closure Permanent,474
507,United Road Services,Closure Permanent,4,4,Closure Permanent,4
508,Unity Technologies,Layoff Permanent,169,169,Layoff Permanent,169
509,"Universal Intermodal Services, Inc.",Layoff Permanent,42,42,Layoff Permanent,42
510,Universal Music Group,Layoff Permanent,83,83,Layoff Permanent,83
511,Universal Protection Service,Layoff Permanent,37,37,Layoff Permanent,37
512,VF Santa Fe Springs Distribution Center,Closure Permanent,255,255,Closure Permanent,255
513,Valiant Integrated Services,Layoff Permanent,137,137,Layoff Permanent,137
514,Valley Processing,Closure Permanent,60,60,Closure Permanent,60
515,Vans HQ,Layoff Permanent,42,42,Layoff Permanent,42
516,Vertical Supply Group,Closure Permanent,7,7,Closure Permanent,7
517,"Viasat, Inc",Layoff Permanent,239,239,Layoff Permanent,239
518,Vionic Consumer Care Operations,Closure Permanent,6,6,Closure Permanent,6
519,Virgin Galactic,Layoff Permanent,78,78,Layoff Permanent,78
520,Visalia Citrus Packing Group,Closure Permanent,65,65,Closure Permanent,65
521,Visalia Times Delta,Layoff Permanent,24,24,Layoff Permanent,24
522,Volta Inc.,Closure Permanent,68,68,Closure Permanent,68
523,WIS International,Closure Permanent,12,12,Closure Permanent,12
524,WaFD Bank,Layoff Permanent,49,49,Layoff Permanent,49
525,Walmart,Closure Permanent,590,669,Closure Permanent,590
526,Walmart,Closure Permanent,590,669,Layoff Permanent,79
527,Walmart,Layoff Permanent,79,669,Closure Permanent,590
528,Walmart,Layoff Permanent,79,669,Layoff Permanent,79
529,Walters & Wolf Precast,Closure Permanent,86,86,Closure Permanent,86
530,Watermark Services,Layoff Permanent,41,41,Layoff Permanent,41
531,Wayfair,Layoff Permanent,74,74,Layoff Permanent,74
532,Wells Fargo,Layoff Permanent,51,51,Layoff Permanent,51
533,West Coast Industries,Closure Permanent,57,57,Closure Permanent,57
534,Western Digital,Layoff Permanent,117,117,Layoff Permanent,117
535,Western Power Sports,Closure Permanent,11,11,Closure Permanent,11
536,William Kreysler & Associates,Layoff Permanent,171,171,Layoff Permanent,171
537,Williams-Sonoma Direct,Closure Permanent,36,36,Closure Permanent,36
538,"Wolfspeed, Inc.",Layoff Permanent,50,50,Layoff Permanent,50
539,Woodbury University,Closure Permanent,10,10,Closure Permanent,10
540,Woodland Rite Aid Distribution Center,Closure Permanent,241,241,Closure Permanent,241
541,Workforce Enterprises,Closure Permanent,186,186,Closure Permanent,186
542,Xcite Steps,Closure Permanent,195,195,Closure Permanent,195
543,Xerxes Corporation,Closure Permanent,106,106,Closure Permanent,106
544,Yelloh,Closure Permanent,18,18,Closure Permanent,18
545,Yellow Corporation,Closure Permanent,94,94,Closure Permanent,94
546,Z Gallerie,Layoff Permanent,15,15,Layoff Permanent,15
547,"Zwift, Inc.",Layoff Permanent,76,76,Layoff Permanent,76
548,Zymergen Inc.,Layoff Permanent,108,108,Layoff Permanent,108
549,dnata US Inflight Catering,Layoff Permanent,1,1,Layoff Permanent,1
550,eBay Inc.,Layoff Permanent,281,281,Layoff Permanent,281
